,Pre-pandemic Date,"B.C.

Number of ED visits, pre-pandemic",Post-pandemic Date,"B.C.

Number of ED visits, pandemic period",PRE_MIN_TEMPERATURE,PRE_MEAN_TEMPERATURE,PRE_MAX_TEMPERATURE,PRE_TOTAL_SNOW,PRE_TOTAL_RAIN,PRE_TOTAL_PRECIPITATION,PRE_HEATING_DEGREE_DAYS,PRE_COOLING_DEGREE_DAYS,POST_MIN_TEMPERATURE,POST_MEAN_TEMPERATURE,POST_MAX_TEMPERATURE,POST_TOTAL_SNOW,POST_TOTAL_RAIN,POST_TOTAL_PRECIPITATION,POST_HEATING_DEGREE_DAYS,POST_COOLING_DEGREE_DAYS
459,2019-02-01,"4,582",2021-02-01,"3,974",-1.0136150234741783,1.3314285714285716,3.7301886792452823,1.3963963963963963,6.800900900900901,9.710204081632654,16.66857142857143,0.0,0.2154545454545454,2.027981651376147,3.916742081447964,1.6144067796610169,8.770833333333334,9.676847290640394,15.972018348623854,0.0
460,2019-02-02,"4,407",2021-02-02,"3,839",-5.83755868544601,-2.3823809523809523,1.2009478672985785,0.4775700934579439,0.2308411214953271,0.772872340425532,20.382380952380952,0.0,-0.8040909090909091,1.5233944954128442,3.8802752293577982,0.5669565217391305,3.706034482758621,4.538383838383838,16.476605504587155,0.0
461,2019-02-03,"4,249",2021-02-03,"3,867",-12.894258373205744,-9.387980769230769,-5.600467289719626,1.4912280701754386,0.1719298245614035,1.5873626373626373,27.38798076923077,0.0,-3.0822727272727275,0.2091743119266054,3.5444954128440367,0.528695652173913,2.1129310344827585,2.0248730964467003,17.790825688073394,0.0
462,2019-02-04,"4,566",2021-02-04,"3,709",-14.550691244239632,-10.73148148148148,-6.84147465437788,0.0923076923076923,0.0341880341880341,0.2205405405405405,28.73148148148148,0.0,-1.88868778280543,0.5862385321100917,3.1298165137614675,2.823478260869565,7.194017094017094,8.414646464646465,17.41376146788991,0.0
463,2019-02-05,"4,314",2021-02-05,"3,843",-14.32935779816514,-9.541935483870969,-4.698630136986301,0.0440677966101694,0.0423728813559322,0.0747311827956989,27.54193548387097,0.0,-1.187557603686636,1.928095238095238,5.084761904761905,1.5485981308411214,3.046728971962617,3.443617021276596,16.07190476190476,0.0
464,2019-02-06,"4,313",2021-02-06,"3,614",-12.834234234234234,-8.138009049773755,-3.355156950672646,0.3866666666666666,0.1833333333333333,0.4725388601036269,26.13800904977376,0.0,-2.3928229665071767,0.2519417475728155,2.914423076923077,1.0009433962264151,1.5575471698113208,3.1661290322580644,17.748058252427185,0.0
465,2019-02-07,"4,315",2021-02-07,"3,498",-10.544239631336405,-6.536574074074075,-2.4463302752293576,1.2256410256410255,0.3982758620689655,1.2630208333333333,24.53657407407407,0.0,-6.1810426540284364,-2.865700483091788,0.5570754716981132,0.8275229357798165,0.3554545454545454,1.2821989528795812,20.865700483091786,0.0
466,2019-02-08,"4,200",2021-02-08,"3,951",-9.415207373271889,-6.011737089201878,-2.5413953488372094,1.6794642857142856,0.1803571428571428,1.4184782608695652,24.01173708920188,0.0,-9.718139534883722,-6.4476415094339625,-3.049767441860465,0.2991228070175438,0.0070796460176991,0.2449197860962567,24.44764150943396,0.0
467,2019-02-09,"4,298",2021-02-09,"3,720",-12.15962441314554,-8.320754716981131,-4.374766355140187,0.1189189189189189,0.0,0.2217877094972067,26.32075471698113,0.0,-13.13744292237443,-9.314285714285717,-5.314678899082568,0.2886956521739131,0.0434782608695652,0.3076923076923077,27.314285714285717,0.0
468,2019-02-10,"4,312",2021-02-10,"3,583",-13.96338028169014,-9.534285714285714,-5.027570093457944,5.119642857142857,0.0107142857142857,3.608196721311475,27.534285714285712,0.0,-13.593607305936072,-10.170967741935485,-6.66467889908257,0.2086206896551724,0.0551724137931034,0.1972222222222222,28.170967741935485,0.0
469,2019-02-11,"4,357",2021-02-11,"3,557",-13.198611111111113,-8.873611111111112,-4.555251141552511,5.655,0.0,4.087958115183246,26.87361111111111,0.0,-14.099549549549549,-10.575342465753424,-7.009954751131222,0.0307692307692307,0.0017094017094017,0.0300546448087431,28.575342465753423,0.0
470,2019-02-12,"4,066",2021-02-12,"3,579",-10.245909090909093,-7.197706422018348,-4.070909090909091,6.117500000000001,0.0933333333333333,5.53,25.19770642201835,0.0,-14.116203703703704,-9.69952380952381,-5.305687203791469,3.4490909090909088,0.1699999999999999,2.30632183908046,27.699523809523807,0.0
471,2019-02-13,"4,354",2021-02-13,"3,329",-11.208294930875574,-6.665420560747664,-2.0101382488479262,0.2427350427350427,0.0172413793103448,0.5079787234042553,24.665420560747663,0.0,-11.20904761904762,-7.314903846153846,-3.3623809523809527,2.8411214953271027,0.4205607476635514,2.8271676300578035,25.314903846153847,0.0
