"Date of visit*","Total

Number of ED visits, pre-pandemic","P.E.I.

Number of ED visits, pre-pandemic","N.S.

Number of ED visits, pre-pandemic","Que.

Number of ED visits, pre-pandemic","Ont.

Number of ED visits, pre-pandemic","Man. 

Number of ED visits, pre-pandemic","Sask.

Number of ED visits, pre-pandemic","Alta.

Number of ED visits, pre-pandemic","B.C.

Number of ED visits, pre-pandemic","Y.T.

Number of ED visits, pre-pandemic","Total

Number of ED visits, pandemic period","P.E.I.

Number of ED visits, pandemic period","N.S.

Number of ED visits, pandemic period","Que.

Number of ED visits, pandemic period","Ont.

Number of ED visits, pandemic period","Man.

Number of ED visits, pandemic period","Sask.

Number of ED visits, pandemic period","Alta.

Number of ED visits, pandemic period","B.C.

Number of ED visits, pandemic period","Y.T.

Number of ED visits, pandemic period","Total
Percentage change, pre-pandemic to pandemic period","P.E.I.
Percentage change, pre-pandemic to pandemic period","N.S.
Percentage change, pre-pandemic to pandemic period","Que.
Percentage change, pre-pandemic to pandemic period","Ont.
Percentage change, pre-pandemic to pandemic period","Man.
Percentage change, pre-pandemic to pandemic period","Sask.
Percentage change, pre-pandemic to pandemic period","Alta.
Percentage change, pre-pandemic to pandemic period","B.C.
Percentage change, pre-pandemic to pandemic period","Y.T.
Percentage change, pre-pandemic to pandemic period"
23-May-20,"42,725",67,860,"10,495","18,239",915,885,"6,462","4,696",106,"28,796",56,653,"6,489","12,068",753,695,"4,569","3,425",88,-31%,-16%,-24%,-38%,-34%,-18%,-21%,-29%,-27%,-17%
24-May-20,"42,305",65,829,"10,438","18,137",846,903,"6,350","4,607",130,"28,956",39,620,"6,586","12,276",712,697,"4,548","3,403",75,-30%,-40%,-25%,-37%,-32%,-16%,-23%,-28%,-26%,-42%
25-May-20,"38,921",56,757,"9,215","16,605",893,890,"6,110","4,281",114,"33,962",55,751,"7,943","14,835",816,790,"4,950","3,741",81,-12%,-2%,-1%,-14%,-11%,-9%,-11%,-19%,-13%,-29%
26-May-20,"41,592",66,795,"10,019","17,788",810,927,"6,388","4,709",90,"31,568",54,689,"7,220","13,641",808,710,"4,727","3,628",91,-23%,-18%,-13%,-28%,-23%,0%,-23%,-26%,-23%,1%
27-May-20,"46,621",73,929,"11,480","20,179",957,939,"6,948","4,985",131,"31,182",52,690,"7,265","13,273",800,706,"4,639","3,680",77,-32%,-29%,-26%,-37%,-34%,-16%,-25%,-33%,-26%,-41%
28-May-20,"43,109",56,846,"10,687","18,415",898,941,"6,528","4,609",129,"31,571",54,709,"7,473","13,432",723,713,"4,626","3,739",102,-26%,-4%,-16%,-30%,-27%,-19%,-24%,-29%,-19%,-21%
29-May-20,"42,601",71,839,"10,471","18,247",884,897,"6,566","4,518",108,"32,120",53,783,"7,717","13,359",732,758,"4,798","3,834",86,-24%,-25%,-7%,-26%,-27%,-17%,-15%,-27%,-15%,-20%
30-May-20,"41,956",49,770,"10,355","17,816",948,894,"6,386","4,616",122,"30,044",56,667,"6,754","12,601",694,701,"4,905","3,582",84,-26%,14%,-13%,-35%,-29%,-27%,-22%,-23%,-22%,-31%
31-May-20,"41,885",71,772,"9,971","17,971",832,925,"6,538","4,684",121,"29,462",41,687,"6,670","12,254",702,702,"4,747","3,581",78,-29%,-42%,-11%,-33%,-32%,-16%,-24%,-27%,-24%,-36%
01-Jun-20,"39,617",67,786,"8,857","16,874",931,942,"6,386","4,664",110,"33,426",38,736,"7,772","14,383",818,768,"4,949","3,879",83,-17%,-43%,-6%,-12%,-15%,-12%,-18%,-23%,-17%,-25%
02-Jun-20,"41,452",71,784,"9,405","17,830",874,910,"6,663","4,822",93,"32,343",47,703,"7,549","13,670",814,776,"4,963","3,733",88,-23%,-34%,-10%,-20%,-23%,-7%,-15%,-26%,-23%,-5%
03-Jun-20,"45,948",67,891,"10,944","19,868",956,930,"7,229","4,965",98,"31,971",61,643,"7,504","13,548",754,807,"4,863","3,687",104,-30%,-9%,-28%,-31%,-32%,-21%,-13%,-33%,-26%,6%
04-Jun-20,"42,742",69,837,"10,387","18,234",929,888,"6,638","4,649",111,"32,324",64,702,"7,498","13,930",760,732,"4,779","3,782",77,-23%,-7%,-16%,-28%,-24%,-18%,-18%,-28%,-19%,-31%
05-Jun-20,"41,949",75,826,"10,213","17,791",829,926,"6,548","4,630",111,"32,646",54,716,"7,687","13,873",796,735,"4,943","3,729",113,-21%,-28%,-13%,-25%,-22%,-4%,-21%,-25%,-19%,2%
06-Jun-20,"41,845",66,755,"10,064","18,079",921,890,"6,381","4,579",110,"30,646",51,695,"7,001","12,862",725,686,"4,818","3,721",87,-26%,-23%,-8%,-30%,-29%,-21%,-23%,-24%,-19%,-21%
07-Jun-20,"41,014",60,740,"10,167","17,613",910,894,"6,089","4,433",108,"30,445",55,710,"7,075","12,890",735,742,"4,434","3,725",79,-24%,-8%,-4%,-30%,-27%,-19%,-17%,-27%,-16%,-27%
08-Jun-20,"39,632",75,780,"9,113","17,275",849,917,"6,144","4,382",97,"34,872",49,771,"8,384","15,095",828,752,"4,996","3,899",98,-13%,-35%,-1%,-8%,-13%,-2%,-18%,-19%,-11%,1%
